norad,nome,categoria_n2yo,categoria_coleta,no_recorte
6117,,Strela,,não
6118,,Strela,,não
6119,,Strela,,não
6120,,Strela,,não
6121,,Strela,,não
6122,,Strela,,não
6123,,Strela,,não
6124,,Strela,,não
6126,,Earth resources,,não
6148,,Tsiklon,,não
6153,,Brightest,,não
6154,,Military,,não
6155,,Brightest,,não
6173,,Experimental,,não
6192,,Military,,não
6197,,Space & Earth Science,,não
6206,,Military,,não
6217,,Space & Earth Science,,não
6235,,Amateur radio,,não
6235,,NOAA,,não
6236,,Amateur radio,,não
6256,,Space & Earth Science,,não
6262,,Strela,,não
6264,,Strela,,não
6265,,Strela,,não
6266,,Strela,,não
6267,,Strela,,não
6268,,Strela,,não
6269,,Strela,,não
6270,,Strela,,não
6275,,Space & Earth Science,,não
6278,,Geostationary,,não
6305,,Weather,,não
6317,,Geostationary,,não
6319,,Geodetic,,não
6323,,Strela,,não
6350,,Tsiklon,,não
6364,,Space & Earth Science,,não
6380,,Geostationary,,não
6392,,Space & Earth Science,,não
6421,,Space & Earth Science,,não
6425,,Space & Earth Science,,não
6437,,Geostationary,,não
6659,,Space & Earth Science,,não
6675,,Strela,,não
6676,,Strela,,não
6677,,Strela,,não
6678,,Strela,,não
6679,,Strela,,não
6680,,Strela,,não
6681,,Strela,,não
6682,,Strela,,não
6686,,Space & Earth Science,,não
6691,,Geostationary,,não
6707,,Tsiklon,,não
6742,,Space & Earth Science,,não
6754,,Space & Earth Science,,não
6768,,Space & Earth Science,,não
6776,,Space & Earth Science,,não
6787,,Space & Earth Science,,não
6791,,Military,,não
6796,,Intelsat,,não
6822,,Military,,não
6825,,Geodetic,,não
6828,,Tsiklon,,não
6845,,Strela,,não
6846,,Strela,,não
6847,,Strela,,não
6848,,Strela,,não
6849,,Strela,,não
6850,,Strela,,não
6851,,Strela,,não
6852,,Strela,,não
6893,,Space & Earth Science,,não
6909,,Navy Navigation Satellite System,,não
6916,,Military,,não
6919,,Space & Earth Science,,não
6920,,Amateur radio,,não
6920,,NOAA,,não
6938,,Military,,não
6965,,Strela,,não
6973,,Military,,não
6974,,Military,,não
6985,,Strela,,não
6986,,Strela,,não
6987,,Strela,,não
6988,,Strela,,não
6989,,Strela,,não
